Name	2019	PrecedingPeriod	YearAgofromPeriod
TheUnitedStates	72,808	68,168	68,168
Alabama	59,558	53,879	53,879
Alaska	83,079	74,161	74,161
Arizona	74,897	67,201	67,201
Arkansas	57,799	53,712	53,712
California	82,772	76,055	76,055
Colorado	76,832	78,801	78,801
Connecticut	92,507	78,561	78,561
Delaware	78,628	70,145	70,145
DistrictofColumbia	98,675	92,521	92,521
Florida	61,856	58,959	58,959
Georgia	60,012	60,229	60,229
Hawaii	93,265	86,433	86,433
Idaho	69,932	63,365	63,365
Illinois	78,845	75,684	75,684
Indiana	70,679	64,621	64,621
Iowa	70,002	74,144	74,144
Kansas	77,523	68,987	68,987
Kentucky	58,989	58,863	58,863
Louisiana	54,797	53,919	53,919
Maine	70,523	63,295	63,295
Maryland	101,283	93,031	93,031
Massachusetts	92,949	93,163	93,163
Michigan	67,951	65,222	65,222
Minnesota	86,292	77,488	77,488
Mississippi	47,463	46,159	46,159
Missouri	64,218	66,600	66,600
Montana	63,792	62,233	62,233
Nebraska	77,437	72,911	72,911
Nevada	75,143	66,749	66,749
NewHampshire	92,093	87,769	87,769
NewJersey	92,969	80,033	80,033
NewMexico	56,287	52,096	52,096
NewYork	76,149	72,586	72,586
NorthCarolina	64,814	57,583	57,583
NorthDakota	74,216	71,756	71,756
Ohio	68,527	66,500	66,500
Oklahoma	62,946	58,732	58,732
Oregon	78,860	74,626	74,626
Pennsylvania	74,800	69,619	69,619
RhodeIsland	74,344	67,183	67,183
SouthCarolina	65,735	61,980	61,980
SouthDakota	68,095	64,158	64,158
Tennessee	60,011	60,487	60,487
Texas	71,474	64,506	64,506
Utah	89,574	83,152	83,152
Vermont	78,746	75,599	75,599
Virginia	86,172	83,243	83,243
Washington	87,381	86,021	86,021
WestVirginia	56,916	54,566	54,566
Wisconsin	71,380	67,574	67,574
Wyoming	69,027	67,477	67,477
