,MS SubClass,MS Zoning,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,Land Contour,Land Slope,Street,Lot Shape
0,2 Storey 1946 Newer,Residential Low Density,CulDSac,Sawyer,RRAe,Norm,1Fam,Lvl,Gtl,Pave,IR1
1,2 Storey 1946 Newer,Residential Low Density,CulDSac,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
2,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
3,2 Storey 1946 Newer,Residential Low Density,Inside,Timber,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
4,1.5 Finished,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
5,1 Storey Newer All,Residential Low Density,Corner,NAmes,PosA,Norm,1Fam,Lvl,Gtl,Pave,IR1
6,PUD Multi,Residential Medium Density,Inside,Edwards,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
7,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
8,1 Storey Newer All,Residential Low Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
9,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,HLS,Sev,Pave,IR1
10,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
11,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
13,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
14,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
15,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
16,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
17,1 Storey Newer All,Residential Low Density,Corner,Sawyer,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
18,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
19,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
20,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
21,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
22,2 Storey 1946 Newer,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
23,1 Storey Newer All,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
24,Family Conversion,Residential Low Density,Inside,Gilbert,Norm,Norm,2fmCon,Bnk,Gtl,Pave,Reg
25,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
26,1 Storey Newer All,Residential Low Density,Inside,Sawyer,RRAe,Norm,1Fam,Lvl,Gtl,Pave,Reg
27,1.5 Finished,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
29,1.5 Finished,Residential Low Density,Corner,NAmes,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
30,1 Storey Newer All,Residential Low Density,Inside,NWAmes,PosN,Norm,1Fam,Lvl,Gtl,Pave,Reg
31,2 Storey 1946 Older,Residential Low Density,Corner,Crawfor,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
32,1 Storey PUD,Residential Low Density,CulDSac,Veenker,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
33,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
34,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
35,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
36,2 Storey PUD,Residential Medium Density,Inside,MeadowV,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
37,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
38,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
39,1 Storey Newer All,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
40,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
41,1 Storey Newer All,Residential Low Density,Inside,NridgHt,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
42,Split Foyer,Residential Low Density,Corner,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
43,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
44,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
45,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
46,1.5 Finished,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
47,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Mod,Pave,Reg
48,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
49,2 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
50,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
51,1.5 Finished,Residential Low Density,Inside,SWISU,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
52,2 Storey 1946 Newer,Residential Low Density,Inside,NWAmes,RRAn,Norm,1Fam,Lvl,Gtl,Pave,IR1
54,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
55,2 Storey 1946 Newer,Residential Low Density,Corner,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
56,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
57,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
58,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
59,2 Storey 1946 Newer,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
60,2 Storey 1946 Newer,Residential Low Density,CulDSac,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
61,2 Storey 1946 Newer,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
62,1 Storey Newer All,Residential Low Density,Inside,ClearCr,Norm,Norm,1Fam,Low,Mod,Pave,IR1
63,1.5 Finished,Residential Medium Density,Corner,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
64,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
66,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
67,2 Storey PUD,Residential Medium Density,Inside,Edwards,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
68,1 Storey Newer All,Residential Low Density,Corner,NridgHt,Norm,Norm,1Fam,HLS,Mod,Pave,IR1
69,1 Storey PUD,Residential Low Density,Inside,Blmngtn,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
70,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
71,1 Storey Newer All,Residential Low Density,Inside,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR2
72,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
73,2 Storey PUD,Residential Medium Density,Inside,Edwards,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
74,1 Storey Newer All,Residential Low Density,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
75,1 Storey 1945 older,Residential Medium Density,Inside,IDOTRR,RRNe,Norm,1Fam,Lvl,Gtl,Grvl,IR1
76,1 Storey 1945 older,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
77,1 Storey 1945 older,Residential Medium Density,Inside,BrkSide,Feedr,RRNn,1Fam,Lvl,Gtl,Pave,IR1
78,Duplex All,Residential Low Density,Corner,NAmes,Feedr,Norm,Duplex,Lvl,Gtl,Pave,Reg
80,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
81,1 Storey Newer All,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
82,1.5 Finished,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,IR1
83,1 Storey Newer All,Residential Low Density,FR2,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
84,1 Storey PUD,Residential Medium Density,FR2,Mitchel,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
85,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
86,1 Storey Newer All,Residential Low Density,Inside,SawyerW,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
87,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
88,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Feedr,Norm,1Fam,Lvl,Gtl,Pave,Reg
89,2 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
90,Split,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
91,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR3
92,2 Storey 1946 Newer,Residential Low Density,Inside,SawyerW,RRAe,Norm,1Fam,Lvl,Gtl,Pave,Reg
94,Split,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
95,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
96,Split,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
97,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
98,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,Reg
99,2 Storey 1946 Newer,Residential Low Density,Inside,NoRidge,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
100,1 Storey Newer All,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
102,1 Storey Newer All,Residential Low Density,Inside,Veenker,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
104,2 Storey 1946 Newer,Residential Low Density,CulDSac,Mitchel,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
105,Family Conversion,Residential Low Density,Corner,NWAmes,RRAn,Feedr,2fmCon,Lvl,Gtl,Pave,IR1
106,2 Storey PUD,Floating Village Residential,FR2,Somerst,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
107,1.5 Finished,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
108,1 Storey Newer All,Residential Low Density,CulDSac,NAmes,Norm,Norm,1Fam,Low,Sev,Pave,IR1
109,2 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
110,2 Storey 1946 Older,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
111,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
112,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
113,1 Storey Newer All,Residential Low Density,Corner,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
115,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
116,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
117,1 Storey PUD,Floating Village Residential,Inside,Somerst,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
118,Family Conversion,Residential Low Density,Corner,ClearCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
119,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
121,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
122,1 Storey Newer All,Residential Low Density,Inside,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
123,1 Storey 1945 older,Residential Medium Density,Inside,OldTown,Artery,Norm,1Fam,Lvl,Gtl,Pave,Reg
124,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
125,2 Storey 1946 Newer,Residential Low Density,CulDSac,Veenker,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
126,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
127,2 Storey 1946 Older,Residential Low Density,Inside,Crawfor,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
128,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
129,Split,Residential Medium Density,Inside,IDOTRR,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
130,1 Storey PUD,Residential Low Density,Inside,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
131,2 Storey 1946 Newer,Residential Low Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
132,2 Storey PUD,Residential Low Density,Inside,NPkVill,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
133,1 Storey PUD,Residential Low Density,CulDSac,Veenker,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
135,2 Storey PUD,Residential Medium Density,Inside,BrDale,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
137,1 Storey PUD,Residential Low Density,Inside,NridgHt,Norm,Norm,Twnhs,Lvl,Gtl,Pave,Reg
138,2 Storey 1946 Newer,Residential Low Density,CulDSac,StoneBr,Norm,Norm,1Fam,HLS,Gtl,Pave,IR1
140,1 Storey Newer All,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
141,2 Storey 1946 Newer,Residential Low Density,Inside,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
142,1 Storey Newer All,Residential Low Density,Corner,Sawyer,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
143,1 Storey Newer All,Residential Low Density,Inside,Edwards,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
144,1 Storey Newer All,Floating Village Residential,Inside,Somerst,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
145,1.5 Finished,Residential Medium Density,Inside,BrkSide,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
147,1 Storey Newer All,Residential Low Density,Inside,NWAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
148,2 Storey 1946 Newer,Residential Low Density,Inside,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
149,1.5 Finished,Residential Medium Density,Inside,OldTown,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
150,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
151,2 Storey 1946 Newer,Residential Low Density,Inside,StoneBr,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
152,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
153,2 Storey 1946 Newer,Residential Low Density,Corner,CollgCr,Norm,Norm,1Fam,Lvl,Gtl,Pave,Reg
154,1 Storey Newer All,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
155,1 Storey Newer All,Residential Low Density,Corner,Gilbert,Norm,Norm,1Fam,Lvl,Gtl,Pave,IR1
156,1 Storey PUD,Residential Low Density,Inside,StoneBr,Norm,Norm,TwnhsE,Lvl,Gtl,Pave,IR1
157,2 Storey 1946 Newer,Residential Low Density,Inside,NAmes,Norm,Norm,1Fam,Lvl,Mod,Pave,Reg
158,Family Conversion,Residential Low Density,Inside,BrkSide,RRAn,Norm,2fmCon,Lvl,Gtl,Pave,Reg
