,House Style,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Garage Type,Garage Finish,Garage Cars,Paved Drive
0,2Story,Gable,CompShg,HdBoard,Plywood,CBlock,TA,TA,No,GLQ,Unf,0.0,0.0,2,1,3,1,Gd,6,0,Attchd,RFn,2.0,Y
1,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,4,1,Gd,8,1,Attchd,RFn,2.0,Y
2,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,GLQ,Unf,1.0,0.0,1,0,3,1,Gd,5,0,Detchd,Unf,1.0,Y
3,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,3,1,TA,7,0,BuiltIn,Fin,2.0,Y
4,1.5Fin,Gable,CompShg,Wd Sdng,Plywood,PConc,Fa,Gd,No,Unf,Unf,0.0,0.0,2,0,3,1,TA,6,0,Detchd,Unf,2.0,N
5,1Story,Gable,CompShg,BrkFace,Plywood,CBlock,TA,TA,No,ALQ,Rec,0.0,0.0,2,1,2,1,Gd,6,1,Attchd,Fin,2.0,Y
6,SFoyer,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Gd,GLQ,Unf,1.0,0.0,2,0,2,1,TA,5,0,Basment,Fin,2.0,Y
7,1Story,Hip,CompShg,Plywood,Plywood,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,3,1,TA,6,0,Attchd,RFn,2.0,Y
8,1Story,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,1,0,2,1,TA,6,0,Detchd,Unf,1.0,Y
9,2Story,Gable,CompShg,Plywood,Plywood,PConc,Gd,TA,Av,Rec,Unf,0.0,1.0,1,2,5,1,Fa,9,2,Attchd,Unf,2.0,Y
10,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,ALQ,Unf,0.0,0.0,1,1,2,1,TA,4,0,Detchd,Unf,1.0,Y
11,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,0.0,0.0,2,0,2,1,Gd,6,0,Attchd,RFn,2.0,Y
13,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,7,0,Detchd,Unf,2.0,Y
14,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,GLQ,Unf,0.0,0.0,2,0,3,1,Gd,6,0,Attchd,RFn,2.0,Y
15,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Av,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,2.0,Y
16,2Story,Gable,CompShg,AsbShng,AsbShng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,4,1,TA,7,0,Detchd,Unf,3.0,Y
17,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,TA,TA,No,Rec,Unf,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,2.0,Y
18,1Story,Gable,CompShg,Plywood,Plywood,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,TA,7,1,Attchd,RFn,2.0,Y
19,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,GLQ,Unf,0.0,0.0,2,1,3,1,Gd,7,0,Attchd,Unf,2.0,Y
20,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,Gd,TA,No,BLQ,Unf,0.0,0.0,1,0,3,1,TA,5,1,Attchd,Fin,2.0,Y
21,1Story,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Ex,5,1,Attchd,Fin,2.0,Y
22,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,Ex,TA,Av,Unf,Unf,0.0,0.0,2,1,3,1,Ex,8,1,Attchd,Fin,2.0,Y
23,1Story,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,ALQ,Unf,1.0,0.0,2,0,3,1,TA,6,0,Attchd,Fin,2.0,Y
24,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Mn,Rec,Unf,1.0,0.0,1,0,3,1,TA,5,0,Attchd,Fin,2.0,Y
25,1Story,Hip,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,2,0,3,1,TA,6,1,Attchd,RFn,2.0,Y
26,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,GLQ,BLQ,1.0,0.0,1,0,3,1,TA,5,1,Detchd,Unf,1.0,Y
27,1.5Fin,Gable,CompShg,WdShing,Wd Shng,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,2,0,4,1,Gd,7,1,Detchd,Unf,1.0,Y
29,1.5Fin,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Mn,Unf,Unf,0.0,0.0,1,0,3,1,TA,6,1,Detchd,Unf,2.0,Y
30,1Story,Hip,WdShngl,BrkFace,BrkFace,PConc,Gd,TA,No,ALQ,Unf,1.0,0.0,2,1,4,1,Gd,9,1,Attchd,Fin,2.0,Y
31,2Story,Gable,CompShg,BrkFace,Stucco,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,1,0,3,1,Gd,7,2,Detchd,Unf,2.0,Y
32,1Story,Hip,CompShg,BrkFace,BrkFace,PConc,Gd,Gd,Av,LwQ,GLQ,1.0,0.0,1,1,2,1,Ex,6,1,Attchd,Fin,2.0,Y
33,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,ALQ,Unf,0.0,0.0,1,0,2,1,TA,5,0,Detchd,Unf,2.0,N
34,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,Gd,GLQ,Unf,1.0,0.0,2,0,3,1,Gd,7,1,Attchd,RFn,3.0,Y
35,1Story,Flat,Tar&Grv,Wd Sdng,Wd Sdng,CBlock,Gd,TA,Gd,Unf,Unf,0.0,0.0,1,0,2,1,TA,5,1,Basment,RFn,1.0,Y
36,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,TA,TA,No,ALQ,Rec,0.0,0.0,2,0,4,1,TA,6,1,Attchd,RFn,1.0,Y
37,1Story,Hip,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,BLQ,Unf,0.0,0.0,2,0,3,1,TA,7,1,Attchd,RFn,2.0,Y
38,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,ALQ,Unf,0.0,0.0,1,1,3,1,TA,6,1,Attchd,Unf,2.0,Y
39,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,Gd,No,GLQ,Unf,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,1.0,Y
40,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,BLQ,LwQ,1.0,0.0,1,1,3,1,TA,6,0,Attchd,Fin,1.0,Y
41,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Ex,Gd,Gd,GLQ,Unf,1.0,0.0,2,1,2,1,Ex,7,1,Attchd,Fin,3.0,Y
42,SFoyer,Gable,CompShg,Plywood,Plywood,PConc,Gd,TA,Av,GLQ,Unf,1.0,0.0,1,0,1,1,Gd,4,1,Attchd,Fin,2.0,Y
43,1.5Fin,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,2,0,4,1,TA,7,0,Attchd,Unf,1.0,Y
44,1Story,Hip,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,Rec,Unf,1.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,1.0,Y
45,2Story,Gable,CompShg,BrkFace,Stucco,PConc,TA,Fa,No,LwQ,Unf,0.0,0.0,1,1,4,1,TA,9,2,Detchd,Fin,2.0,Y
46,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,LwQ,BLQ,0.0,0.0,2,0,3,1,TA,6,0,Detchd,Unf,2.0,Y
47,2Story,Gable,CompShg,Stucco,Wd Shng,BrkTil,Gd,TA,No,Unf,Unf,0.0,0.0,1,1,3,1,TA,6,1,Attchd,RFn,1.0,P
48,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,Rec,LwQ,1.0,0.0,1,0,3,1,TA,6,0,Attchd,RFn,1.0,Y
49,2Story,Gable,CompShg,VinylSd,Wd Shng,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,1,2,1,Gd,6,0,BuiltIn,RFn,2.0,Y
50,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,1,2,1,Gd,4,0,Detchd,Unf,2.0,Y
51,1.5Fin,Gable,CompShg,WdShing,Plywood,BrkTil,TA,TA,No,BLQ,Unf,1.0,0.0,2,0,4,1,Gd,7,2,Detchd,Unf,2.0,Y
52,2Story,Gable,CompShg,Plywood,Plywood,CBlock,Gd,TA,No,BLQ,LwQ,1.0,0.0,3,1,5,1,Gd,12,2,Attchd,RFn,2.0,Y
54,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Unf,Unf,0.0,0.0,1,1,2,1,Gd,5,1,Attchd,Unf,2.0,Y
55,2Story,Gable,CompShg,HdBoard,HdBoard,CBlock,TA,TA,No,ALQ,Unf,0.0,0.0,1,1,4,1,TA,7,0,Attchd,Fin,1.0,Y
56,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,No,GLQ,ALQ,1.0,0.0,2,1,2,1,Gd,4,0,Detchd,RFn,2.0,Y
57,1Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,BLQ,Unf,0.0,0.0,1,0,2,1,TA,5,0,Attchd,Unf,1.0,Y
58,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,No,Rec,ALQ,0.0,1.0,1,0,3,1,TA,6,0,Attchd,Fin,1.0,Y
59,2Story,Gable,CompShg,HdBoard,HdBoard,PConc,Gd,TA,No,Rec,Unf,0.0,0.0,2,1,3,1,TA,7,1,Attchd,Fin,2.0,Y
60,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,0.0,0.0,2,1,4,1,Gd,9,1,Attchd,Fin,3.0,Y
61,2Story,Gable,CompShg,CemntBd,CmentBd,PConc,Gd,TA,Av,GLQ,Unf,0.0,0.0,2,1,4,1,Ex,11,1,BuiltIn,Fin,2.0,Y
62,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,Gd,ALQ,Unf,1.0,0.0,1,1,1,1,TA,4,2,Attchd,RFn,2.0,Y
63,1.5Fin,Gable,CompShg,WdShing,Wd Shng,BrkTil,TA,TA,No,Rec,Unf,0.0,0.0,1,0,2,1,Ex,6,1,Detchd,Unf,1.0,N
64,1Story,Gable,CompShg,AsbShng,AsbShng,CBlock,TA,TA,No,Rec,LwQ,0.0,1.0,1,0,3,1,Gd,6,0,Attchd,Unf,1.0,Y
66,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,Gd,TA,No,GLQ,Unf,1.0,0.0,1,0,2,1,TA,5,1,Detchd,Unf,1.0,Y
67,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Detchd,Unf,2.0,Y
68,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,TA,Gd,Unf,Unf,0.0,0.0,2,1,3,1,Ex,7,1,Attchd,Fin,3.0,Y
69,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Gd,GLQ,Unf,0.0,0.0,2,0,2,1,Gd,6,1,Attchd,Fin,2.0,Y
70,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Gd,GLQ,Unf,1.0,0.0,1,0,1,1,Gd,5,2,Attchd,RFn,2.0,Y
71,1Story,Gable,CompShg,MetalSd,MetalSd,PConc,Ex,TA,Mn,GLQ,Unf,1.0,0.0,3,0,3,1,Gd,7,0,Attchd,Fin,3.0,Y
72,1Story,Hip,CompShg,BrkFace,BrkFace,CBlock,TA,TA,Mn,ALQ,Unf,0.0,1.0,1,0,3,1,TA,6,1,BuiltIn,Fin,2.0,Y
73,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Detchd,Unf,2.0,Y
74,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Av,Unf,Unf,0.0,0.0,2,0,3,1,Gd,7,0,Attchd,RFn,3.0,Y
75,1Story,Gable,CompShg,Stucco,Wd Shng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,1,1,TA,4,0,Detchd,Unf,2.0,N
76,1Story,Gable,CompShg,BrkFace,Wd Sdng,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,2,1,Fa,5,1,Detchd,Unf,1.0,N
77,1Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,Unf,Unf,0.0,0.0,1,0,1,1,Fa,4,0,Detchd,Unf,1.0,Y
78,2Story,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,No,Rec,Unf,0.0,0.0,2,0,5,2,TA,12,0,Detchd,Unf,2.0,Y
80,2Story,Gable,CompShg,MetalSd,MetalSd,BrkTil,TA,TA,No,BLQ,Unf,0.0,0.0,1,0,3,1,TA,6,0,Detchd,Unf,2.0,Y
81,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,GLQ,Unf,1.0,0.0,2,0,1,1,Ex,9,1,Attchd,Fin,3.0,Y
82,1.5Fin,Gable,CompShg,Wd Sdng,Wd Sdng,BrkTil,TA,TA,Mn,Unf,Unf,0.0,0.0,1,1,4,1,TA,7,1,Detchd,Unf,3.0,Y
83,1Story,Gable,CompShg,VinylSd,VinylSd,CBlock,TA,TA,No,ALQ,Unf,0.0,0.0,1,0,3,1,TA,5,0,Detchd,Unf,2.0,Y
84,1Story,Hip,CompShg,VinylSd,VinylSd,PConc,Ex,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,TA,4,0,Attchd,RFn,2.0,Y
85,1Story,Hip,CompShg,MetalSd,MetalSd,PConc,Ex,Gd,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,6,1,Attchd,RFn,2.0,Y
86,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,RFn,2.0,Y
87,1Story,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,Gd,TA,No,Rec,Unf,0.0,0.0,1,0,2,1,TA,4,0,Attchd,Unf,1.0,Y
88,1Story,Gable,CompShg,HdBoard,HdBoard,CBlock,Gd,TA,Mn,ALQ,Rec,0.0,1.0,2,0,3,1,TA,6,1,Attchd,RFn,2.0,Y
89,2Story,Gable,CompShg,MetalSd,MetalSd,PConc,Gd,TA,Av,GLQ,Unf,0.0,0.0,2,1,2,1,Gd,4,0,Detchd,RFn,2.0,Y
90,SLvl,Gable,CompShg,MetalSd,MetalSd,CBlock,TA,TA,Av,GLQ,Unf,0.0,1.0,2,0,4,1,TA,7,0,Attchd,RFn,2.0,Y
91,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,Mn,GLQ,Unf,1.0,0.0,2,1,3,1,Gd,7,2,Attchd,RFn,2.0,Y
92,2Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,LwQ,GLQ,1.0,0.0,2,1,3,1,Gd,6,0,Attchd,RFn,2.0,Y
94,SLvl,Hip,CompShg,Wd Sdng,HdBoard,PConc,TA,TA,Av,GLQ,Unf,1.0,0.0,1,0,3,1,TA,6,1,Attchd,RFn,2.0,Y
95,1Story,Gable,CompShg,VinylSd,VinylSd,PConc,Gd,TA,No,GLQ,Unf,1.0,0.0,2,0,2,1,Gd,5,0,Attchd,Fin,2.0,Y
96,SLvl,Hip,CompShg,Wd Sdng,Wd Sdng,CBlock,TA,TA,Av,BLQ,Unf,0.0,1.0,1,0,3,1,TA,6,1,Attchd,RFn,2.0,Y
