,Sale Type,SalePrice,Price Per Sq Ft
0,WD ,130500,9.654509136642746
1,WD ,220000,19.143752175426382
2,WD ,109000,13.759151729361273
3,WD ,174000,17.75147928994083
4,WD ,138500,9.729539866526167
5,WD ,190000,11.52073732718894
6,New,140000,38.095238095238095
7,COD,142000,11.677631578947368
8,WD ,112500,7.127922448203764
9,WD ,135000,11.63191452696881
10,COD,85400,50.833333333333336
11,WD ,183600,24.51923076923077
13,ConLD,200000,75.61436672967864
14,WD ,193000,20.04778227900696
15,WD ,173500,17.154439390943246
16,COD,98000,21.43950995405819
17,WD ,139000,15.766787658802178
18,WD ,143500,17.506404782237404
19,Con,215200,24.90740740740741
20,WD ,129000,14.786795048143054
21,WD ,278000,49.0819209039548
22,New,344133,26.745395197015622
23,WD ,185000,23.182957393483708
24,WD ,145000,4.184704184704184
25,WD ,187500,17.733850373593114
26,WD ,138500,16.390532544378697
27,WD ,198000,16.923076923076923
29,WD ,122900,15.240575396825397
30,WD ,278000,28.958333333333332
31,WD ,230000,20.113686051595977
32,WD ,270000,28.275212064090482
33,WD ,125000,11.415525114155251
34,WD ,297000,27.921406411582215
35,WD ,113500,12.61111111111111
36,WD ,127000,47.65478424015009
37,COD,190000,16.168836694749384
38,WD ,175500,18.28125
39,WD ,146000,17.323208353108686
40,WD ,147500,14.84351413907618
41,New,465000,33.47491181340436
42,WD ,165500,18.184814855510382
43,WD ,131500,10.823045267489713
44,WD ,129500,11.5625
45,WD ,257076,26.584901758014478
46,WD ,117000,10.638297872340425
47,WD ,149000,20.694444444444443
48,WD ,128000,12.903225806451612
49,WD ,155000,63.31699346405229
50,WD ,166000,55.37024683122081
51,WD ,135000,17.298821117375706
52,WD ,250000,14.977234603402827
54,WD ,155000,15.240904621435595
55,WD ,158000,16.87313114053823
56,WD ,149500,58.765723270440255
57,WD ,121000,12.23705501618123
58,WD ,136000,17.124150088139007
59,WD ,173000,11.504189386886553
60,WD ,290000,24.651479088745326
61,New,303477,33.71966666666667
62,WD ,270000,13.4582793340644
63,WD ,122250,16.72824302134647
64,WD ,153000,17.485714285714284
66,WD ,148500,37.125
67,WD ,130000,38.655961938745165
68,WD ,372000,27.322805728975396
69,WD ,213490,70.85628941254564
70,Con,308030,17.616814412353445
71,WD ,300000,12.642225031605562
72,WD ,159500,17.901234567901234
73,WD ,137500,54.52022204599524
74,WD ,232000,26.703499079189687
75,WD ,93850,14.918137021141312
76,WD ,105000,5.990073592332706
77,WD ,68500,10.831752055660974
78,WD ,154300,13.301724137931034
80,WD ,114000,24.939838109822794
81,New,501837,28.80313378867015
82,WD ,153900,12.151598894591393
83,WD ,130000,14.444444444444445
84,WD ,160500,35.666666666666664
85,New,310090,48.6568335163973
86,WD ,184900,18.33779629078647
87,WD ,132000,9.924812030075188
88,WD ,163000,16.979166666666668
89,ConLD,155000,48.211508553654745
90,WD ,183000,16.480547550432277
91,WD ,211000,13.795357960117686
92,WD ,184000,20.19980239323746
94,WD ,180500,12.790532879818594
95,New,166000,47.11893272778882
96,COD,148000,9.665621734587251
97,WD ,124000,16.644295302013422
98,WD ,277500,37.94612334199371
99,WD ,350000,34.93362611039026
100,WD ,387000,25.12823842607623
102,WD ,290000,17.813267813267814
104,WD ,215000,17.609959865672863
105,WD ,146500,11.174675819984744
106,WD ,165000,62.24066390041494
107,CWD,136000,15.96244131455399
108,WD ,252000,6.39853747714808
109,WD ,175500,66.78082191780823
110,WD ,150000,23.415547923821418
111,WD ,139900,11.33527791281802
112,WD ,162900,26.10576923076923
113,WD ,160000,16.0
115,WD ,184000,16.594516594516595
116,WD ,149900,8.442692199380456
117,WD ,300000,62.95907660020986
118,WD ,145000,13.767565514622104
119,WD ,231500,15.007130818099313
121,COD,120000,13.714285714285714
122,WD ,128500,12.921065862242333
123,WD ,115000,12.834821428571429
124,WD ,110000,31.428571428571427
125,WD ,150000,6.104509197460525
126,WD ,178000,19.65547703180212
127,WD ,199500,16.193181818181817
128,WD ,183500,22.274823986404467
129,WD ,126000,21.0
130,WD ,148500,58.718861209964416
131,WD ,149000,13.796296296296296
132,WD ,137900,58.70583226905066
133,Con,324000,29.87276415268302
135,WD ,103400,61.54761904761905
137,WD ,209500,45.64270152505446
138,New,545224,30.186247370169415
140,WD ,141000,7.367541017870206
141,WD ,215000,24.832524832524832
142,WD ,127000,18.41380310279832
143,WD ,128000,13.438320209973753
144,New,267916,20.844627713374308
145,WD ,127500,20.432692307692307
147,WD ,175500,14.516129032258064
148,WD ,217500,24.643099932019034
149,WD ,149500,18.470471954534222
150,WD ,148800,13.893557422969188
151,New,556581,34.664985052316894
152,WD ,156500,18.63095238095238
153,WD ,237000,21.066666666666666
154,WD ,120000,15.925680159256801
155,WD ,203000,16.617550753110674
156,WD ,130000,35.125641718454474
157,WD ,167900,17.202868852459016
158,WD ,129000,13.06593740504406
159,WD ,134450,13.430226750574368
160,WD ,112000,4.4200639330676035
161,WD ,207000,23.302938196555218
163,WD ,154000,62.908496732026144
164,WD ,129900,18.295774647887324
165,WD ,85000,32.79320987654321
166,WD ,116900,20.50877192982456
167,WD ,148500,64.87549148099608
168,WD ,80000,6.568144499178982
169,WD ,152000,20.54054054054054
170,Oth,155891,17.63073965166252
171,WD ,165000,18.64406779661017
172,New,204500,22.192078133478024
173,WD ,146500,15.453586497890296
174,COD,157000,13.215488215488216
175,WD ,184000,17.037037037037038
176,WD ,183200,23.304923037781453
177,WD ,139000,11.96625344352617
178,WD ,341000,32.34680326313792
179,COD,96000,57.142857142857146
180,WD ,140000,16.381933068102036
181,WD ,149700,20.2106115836371
182,WD ,153500,15.138067061143984
184,WD ,224900,27.568031380240257
185,WD ,176000,23.466666666666665
186,WD ,285000,26.690391459074732
187,WD ,282922,18.544965915049815
188,WD ,226000,15.915492957746478
189,New,361919,29.097845312751247
190,New,457347,28.543156712226175
191,WD ,279000,13.905502392344498
192,WD ,196000,19.961299521336183
193,WD ,152000,14.615384615384615
194,WD ,200000,17.1777033410633
195,New,294900,25.324173465006442
196,New,224243,30.600846069868997
197,WD ,92000,11.761697775504986
198,New,179540,19.9090707473941
199,WD ,386250,28.670576009501186
200,WD ,106500,69.47162426614481
201,WD ,310000,28.174134327001727
202,WD ,252000,23.35495829471733
203,WD ,164000,23.007856341189676
204,New,177594,23.02528199144302
205,WD ,123900,19.85576923076923
206,WD ,239000,10.660124888492417
207,WD ,169000,11.045751633986928
208,WD ,234000,73.21652065081352
209,WD ,173000,18.482905982905983
210,WD ,149000,13.255048483231029
211,WD ,170000,18.3585313174946
212,New,225000,28.149630927061178
213,WD ,144900,15.68351553198398
214,WD ,144000,14.336917562724015
215,WD ,192000,60.33940917661848
216,WD ,145500,19.079464988198268
217,WD ,86900,12.400114155251142
218,WD ,149500,12.294407894736842
219,WD ,119750,18.992862807295797
220,New,173900,19.65860275830884
221,COD,136500,12.806079369546861
222,WD ,270000,20.598108025633202
223,WD ,235000,17.40740740740741
224,WD ,156000,20.129032258064516
225,WD ,153000,12.289156626506024
226,WD ,165000,36.666666666666664
227,WD ,325000,29.02303982854081
228,WD ,140000,22.504420511171837
229,WD ,202500,15.340909090909092
230,New,367294,41.88550575892348
231,WD ,175000,17.15686274509804
232,WD ,140000,14.659685863874346
233,WD ,174000,16.84251282547672
234,WD ,190000,19.818504224470637
236,WD ,200000,9.09008271975275
237,WD ,193500,14.884615384615385
238,WD ,145000,17.575757575757574
239,WD ,218000,26.682986536107713
241,WD ,146500,13.492355866642107
242,WD ,194700,25.696185825524616
243,New,230348,30.713066666666666
244,WD ,109500,17.892156862745097
245,WD ,242500,10.284139100932993
246,WD ,239000,45.0433471541651
247,WD ,156000,19.278299555116163
248,WD ,109008,12.685674386128245
250,WD ,290000,24.31050381423422
251,ConLD,159000,16.060606060606062
252,WD ,87000,17.82056534207292
253,WD ,272000,23.811608158977503
254,New,198000,22.571819425444595
255,WD ,119164,15.621919244887257
257,WD ,226750,27.58515815085158
258,WD ,95000,8.949599623174752
259,WD ,139900,23.316666666666666
261,WD ,86900,16.09259259259259
262,WD ,152500,8.482118026586573
