,Heating,Heating QC,Central Air,Electrical,Utilities
0,GasA,Ex,Y,SBrkr,AllPub
1,GasA,Ex,Y,SBrkr,AllPub
2,GasA,TA,Y,SBrkr,AllPub
3,GasA,Gd,Y,SBrkr,AllPub
4,GasA,TA,Y,SBrkr,AllPub
5,GasA,Ex,Y,SBrkr,AllPub
6,GasA,Gd,Y,SBrkr,AllPub
7,GasA,Fa,Y,SBrkr,AllPub
8,GasA,TA,Y,SBrkr,AllPub
9,GasA,TA,Y,SBrkr,AllPub
10,GasA,TA,Y,SBrkr,AllPub
11,GasA,Ex,Y,SBrkr,AllPub
13,GasA,Ex,Y,SBrkr,AllPub
14,GasA,Ex,Y,SBrkr,AllPub
15,GasA,Ex,Y,SBrkr,AllPub
16,GasA,Fa,N,SBrkr,AllPub
17,GasA,TA,Y,SBrkr,AllPub
18,GasA,Ex,Y,SBrkr,AllPub
19,GasA,Ex,Y,SBrkr,AllPub
20,GasA,Gd,Y,SBrkr,AllPub
21,GasA,Ex,Y,SBrkr,AllPub
22,GasA,Ex,Y,SBrkr,AllPub
23,GasA,Ex,Y,SBrkr,AllPub
24,GasA,TA,N,SBrkr,AllPub
25,GasA,Ex,Y,SBrkr,AllPub
26,GasA,Ex,Y,SBrkr,AllPub
27,GasA,Ex,Y,SBrkr,AllPub
29,GasA,Ex,Y,SBrkr,AllPub
30,GasA,TA,Y,SBrkr,AllPub
31,GasA,Fa,Y,SBrkr,AllPub
32,GasA,Ex,Y,SBrkr,AllPub
33,GasA,TA,Y,SBrkr,AllPub
34,GasA,Ex,Y,SBrkr,AllPub
35,GasA,Fa,Y,SBrkr,AllPub
36,GasA,Ex,Y,SBrkr,AllPub
37,GasA,Ex,Y,SBrkr,AllPub
38,GasA,Fa,Y,SBrkr,AllPub
39,GasA,Ex,Y,SBrkr,AllPub
40,GasA,Gd,Y,SBrkr,AllPub
41,GasA,Ex,Y,SBrkr,AllPub
42,GasA,Ex,Y,SBrkr,AllPub
43,GasA,Ex,N,FuseF,AllPub
44,GasA,Ex,Y,SBrkr,AllPub
45,GasA,TA,Y,SBrkr,AllPub
46,GasA,Ex,Y,SBrkr,AllPub
47,GasA,TA,Y,SBrkr,AllPub
48,GasA,TA,Y,SBrkr,AllPub
49,GasA,Ex,Y,SBrkr,AllPub
50,GasA,Ex,Y,SBrkr,AllPub
51,GasA,TA,Y,SBrkr,AllPub
52,GasA,TA,Y,SBrkr,AllPub
54,GasA,TA,Y,SBrkr,AllPub
55,GasA,TA,Y,SBrkr,AllPub
56,GasA,Ex,Y,SBrkr,AllPub
57,GasA,TA,Y,FuseA,AllPub
58,GasA,TA,Y,FuseF,AllPub
59,GasA,Gd,Y,SBrkr,AllPub
60,GasA,Ex,Y,SBrkr,AllPub
61,GasA,Ex,Y,SBrkr,AllPub
62,GasA,Gd,Y,SBrkr,AllPub
63,GasA,Gd,N,FuseA,AllPub
64,GasA,Gd,Y,FuseA,AllPub
66,GasA,TA,Y,SBrkr,AllPub
67,GasA,Ex,Y,SBrkr,AllPub
68,GasA,Ex,Y,SBrkr,AllPub
69,GasA,Ex,Y,SBrkr,AllPub
70,GasA,Ex,Y,SBrkr,AllPub
71,GasA,Ex,Y,SBrkr,AllPub
72,GasA,Ex,Y,SBrkr,AllPub
73,GasA,Ex,Y,SBrkr,AllPub
74,GasA,Ex,Y,SBrkr,AllPub
75,GasA,TA,Y,SBrkr,AllPub
76,GasA,Fa,N,FuseF,AllPub
77,GasA,Fa,N,SBrkr,AllPub
78,GasA,TA,Y,FuseA,AllPub
80,GasA,Ex,Y,SBrkr,AllPub
81,GasA,Ex,Y,SBrkr,AllPub
82,GasA,Gd,Y,SBrkr,AllPub
83,GasA,Gd,Y,SBrkr,AllPub
84,GasA,Ex,Y,SBrkr,AllPub
85,GasA,Ex,Y,SBrkr,AllPub
86,GasA,Ex,Y,SBrkr,AllPub
87,GasA,TA,Y,SBrkr,AllPub
88,GasA,TA,Y,SBrkr,AllPub
89,GasA,Ex,Y,SBrkr,AllPub
90,GasA,Gd,Y,SBrkr,AllPub
91,GasA,Ex,Y,SBrkr,AllPub
92,GasA,Ex,Y,SBrkr,AllPub
94,GasA,TA,Y,SBrkr,AllPub
95,GasA,Ex,Y,SBrkr,AllPub
96,GasA,Ex,Y,SBrkr,AllPub
97,GasA,Gd,Y,SBrkr,AllPub
98,GasA,Ex,Y,SBrkr,AllPub
99,GasA,Ex,Y,SBrkr,AllPub
100,GasA,Ex,Y,SBrkr,AllPub
102,GasA,Ex,Y,SBrkr,AllPub
104,GasA,Ex,Y,SBrkr,AllPub
105,GasA,Ex,Y,SBrkr,AllPub
106,GasA,Ex,Y,SBrkr,AllPub
107,GasW,TA,N,SBrkr,AllPub
108,GasA,Ex,Y,SBrkr,AllPub
109,GasA,Ex,Y,SBrkr,AllPub
110,GasA,TA,Y,FuseA,AllPub
111,GasA,TA,Y,SBrkr,AllPub
112,GasA,TA,Y,SBrkr,AllPub
113,GasA,TA,Y,SBrkr,AllPub
115,GasA,Gd,Y,SBrkr,AllPub
116,GasA,TA,Y,SBrkr,AllPub
117,GasA,Ex,Y,SBrkr,AllPub
118,GasA,Gd,Y,SBrkr,AllPub
119,GasA,Ex,Y,SBrkr,AllPub
121,GasA,TA,Y,SBrkr,AllPub
122,GasA,TA,Y,SBrkr,AllPub
123,GasA,Gd,Y,FuseA,AllPub
124,GasA,TA,Y,SBrkr,AllPub
125,GasA,TA,Y,SBrkr,AllPub
126,GasA,Ex,Y,SBrkr,AllPub
127,GasA,Ex,Y,SBrkr,AllPub
128,GasA,Ex,Y,SBrkr,AllPub
129,GasA,Ex,Y,SBrkr,AllPub
130,GasA,Fa,Y,SBrkr,AllPub
131,GasA,Ex,Y,SBrkr,AllPub
132,GasA,TA,Y,SBrkr,AllPub
133,GasA,Ex,Y,SBrkr,AllPub
135,GasA,TA,Y,SBrkr,AllPub
137,GasA,Ex,Y,SBrkr,AllPub
138,GasA,Ex,Y,SBrkr,AllPub
140,GasA,Ex,Y,SBrkr,AllPub
141,GasA,Ex,Y,SBrkr,AllPub
142,GasA,Ex,Y,SBrkr,AllPub
143,GasA,TA,Y,SBrkr,AllPub
144,GasA,Ex,Y,SBrkr,AllPub
145,GasA,TA,Y,FuseA,AllPub
147,GasA,TA,Y,SBrkr,AllPub
148,GasA,Ex,Y,SBrkr,AllPub
149,GasA,Ex,Y,SBrkr,AllPub
150,GasA,Ex,Y,SBrkr,AllPub
151,GasA,Ex,Y,SBrkr,AllPub
152,GasA,Gd,Y,SBrkr,AllPub
153,GasA,Ex,Y,SBrkr,AllPub
154,GasA,Fa,Y,SBrkr,AllPub
155,GasA,Ex,Y,SBrkr,AllPub
156,GasA,TA,Y,SBrkr,AllPub
157,GasA,TA,Y,SBrkr,AllPub
158,GasW,TA,N,SBrkr,AllPub
159,GasA,TA,Y,SBrkr,AllPub
160,GasA,Ex,Y,SBrkr,AllPub
161,GasA,Ex,Y,SBrkr,AllPub
163,GasA,Ex,Y,SBrkr,AllPub
164,GasA,TA,Y,FuseA,AllPub
165,GasA,TA,Y,SBrkr,AllPub
166,GasA,TA,Y,SBrkr,AllPub
167,GasA,TA,Y,SBrkr,AllPub
168,Grav,Fa,N,FuseA,AllPub
169,GasA,TA,Y,SBrkr,AllPub
170,GasA,Ex,Y,SBrkr,AllPub
171,GasA,Ex,Y,SBrkr,AllPub
172,GasA,Ex,Y,SBrkr,AllPub
173,GasA,Ex,Y,SBrkr,AllPub
174,GasA,TA,Y,SBrkr,AllPub
175,GasW,Gd,Y,SBrkr,AllPub
176,GasA,Ex,Y,SBrkr,AllPub
177,GasA,TA,Y,SBrkr,AllPub
178,GasA,Ex,Y,SBrkr,AllPub
179,GasA,TA,Y,SBrkr,AllPub
180,GasA,Ex,Y,SBrkr,AllPub
181,GasA,TA,Y,FuseA,AllPub
182,GasA,Ex,Y,SBrkr,AllPub
184,GasA,Ex,Y,SBrkr,AllPub
185,GasA,Ex,Y,SBrkr,AllPub
186,GasA,Ex,Y,SBrkr,AllPub
187,GasA,Ex,Y,SBrkr,AllPub
188,GasA,Ex,Y,SBrkr,AllPub
189,GasA,Ex,Y,SBrkr,AllPub
190,GasA,Ex,Y,SBrkr,AllPub
191,GasA,Ex,Y,SBrkr,AllPub
192,GasA,TA,Y,SBrkr,AllPub
193,GasA,TA,Y,SBrkr,AllPub
194,GasA,TA,Y,SBrkr,AllPub
195,GasA,Ex,Y,SBrkr,AllPub
196,GasA,Ex,Y,SBrkr,AllPub
197,GasA,TA,Y,FuseF,AllPub
198,GasA,Ex,Y,SBrkr,AllPub
199,GasA,Ex,Y,SBrkr,AllPub
200,GasA,TA,Y,SBrkr,AllPub
201,GasA,Ex,Y,SBrkr,AllPub
202,GasA,Ex,Y,SBrkr,AllPub
203,GasA,Gd,Y,SBrkr,AllPub
